kreis_id;kreis_name;bev_total_2024;m_u18;w_u18;m_18_34;w_18_34;m_35_59;w_35_59;m_60_74;w_60_74;m_75plus;w_75plus;bev_18_35;bev_65_plus
03351;Celle, Landkreis;172449.0;15214.0;14669.0;15345.0;14399.0;28123.0;28521.0;17058.0;18596.0;8478.0;12046.0;29744.0;42439.0
03352;Cuxhaven, Landkreis;198842.0;17067.0;15608.0;16755.0;14996.0;31391.0;33121.0;21169.0;23109.0;10974.0;14652.0;31751.0;53001.0
03353;Harburg, Landkreis;265864.0;23572.0;22208.0;24536.0;20623.0;45637.0;46306.0;24925.0;26276.0;13430.0;18351.0;45159.0;61436.0
03354;Lï¿½chow-Dannenberg, Landkreis;46502.0;3631.0;3353.0;3540.0;3154.0;7201.0;7433.0;5427.0;6008.0;2896.0;3859.0;6694.0;13917.0
03355;Lï¿½neburg, Landkreis;179448.0;15711.0;14792.0;17496.0;17646.0;29988.0;31097.0;16368.0;17906.0;7533.0;10911.0;35142.0;38525.0
03356;Osterholz, Landkreis;113598.0;10080.0;9622.0;8961.0;8564.0;18753.0;19514.0;11717.0;12399.0;5936.0;8052.0;17525.0;28258.0
03357;Rotenburg (Wï¿½mme), Landkreis;165904.0;14401.0;13684.0;16480.0;14278.0;27772.0;27516.0;16612.0;17267.0;7795.0;10099.0;30758.0;38010.0
03358;Heidekreis;141321.0;12195.0;11564.0;13485.0;11871.0;23300.0;23259.0;14257.0;14991.0;6827.0;9572.0;25356.0;33668.0
03359;Stade, Landkreis;207700.0;19592.0;17235.0;19545.0;18068.0;34927.0;34899.0;19225.0;21004.0;9801.0;13404.0;37613.0;47181.0
03360;Uelzen, Landkreis;91638.0;7371.0;6939.0;8146.0;7312.0;14650.0;14972.0;9901.0;10545.0;4839.0;6963.0;15458.0;24215.0
03361;Verden, Landkreis;138626.0;12836.0;12274.0;12577.0;11554.0;22641.0;23048.0;13231.0;14504.0;6823.0;9138.0;24131.0;32697.0
03401;Delmenhorst, kreisfreie Stadt;81406.0;7550.0;6962.0;8367.0;7666.0;13199.0;13344.0;7130.0;7876.0;3860.0;5452.0;16033.0;18225.0
03402;Emden, kreisfreie Stadt;49202.0;4245.0;4030.0;5366.0;4859.0;8176.0;7986.0;4427.0;4814.0;2138.0;3161.0;10225.0;10949.0
03403;Oldenburg (Oldenburg), kreisfreie Stadt;176614.0;13898.0;13214.0;22701.0;22686.0;27715.0;28322.0;14096.0;16597.0;6960.0;10425.0;45387.0;35695.0
03404;Osnabrï¿½ck, kreisfreie Stadt;166057.0;12715.0;12352.0;22856.0;23854.0;26025.0;25395.0;12874.0;14091.0;6305.0;9590.0;46710.0;32178.0
03405;Wilhelmshaven, kreisfreie Stadt;75745.0;5890.0;5513.0;8627.0;7037.0;11911.0;11142.0;7202.0;8080.0;4251.0;6092.0;15664.0;19647.0
03451;Ammerland, Landkreis;127751.0;11349.0;10559.0;11311.0;10582.0;20787.0;21346.0;12335.0;13753.0;6742.0;8987.0;21893.0;31431.0
03452;Aurich, Landkreis;188816.0;15788.0;14664.0;17393.0;15620.0;30474.0;31395.0;20022.0;21844.0;9157.0;12459.0;33013.0;47461.0
03453;Cloppenburg, Landkreis;177025.0;18547.0;16818.0;19964.0;17926.0;30078.0;28327.0;15678.0;15886.0;5728.0;8073.0;37890.0;32350.0
03454;Emsland, Landkreis;334539.0;31140.0;29812.0;35697.0;30235.0;58151.0;54458.0;31831.0;32395.0;13021.0;17799.0;65932.0;69617.0
03455;Friesland, Landkreis;100411.0;8151.0;7740.0;8534.0;7818.0;15579.0;16552.0;10536.0;11602.0;6003.0;7896.0;16352.0;27250.0
03456;Grafschaft Bentheim, Landkreis;144543.0;13509.0;12656.0;14536.0;12735.0;24200.0;23969.0;13806.0;14373.0;6205.0;8554.0;27271.0;31514.0
03457;Leer, Landkreis;169103.0;15120.0;14646.0;16068.0;14764.0;27978.0;27986.0;16687.0;18085.0;7486.0;10283.0;30832.0;38981.0
03458;Oldenburg, Landkreis;132008.0;11693.0;10868.0;11902.0;11011.0;22360.0;22637.0;13068.0;13804.0;6242.0;8423.0;22913.0;30388.0
03459;Osnabrï¿½ck, Landkreis;354821.0;32437.0;31195.0;33022.0;29943.0;58822.0;59058.0;35382.0;36893.0;15577.0;22492.0;62965.0;81007.0
03460;Vechta, Landkreis;146539.0;14509.0;13926.0;16137.0;14880.0;25171.0;24289.0;12971.0;13037.0;4893.0;6726.0;31017.0;26819.0
03461;Wesermarsch, Landkreis;88936.0;7478.0;7020.0;8394.0;7459.0;14536.0;14234.0;9497.0;9806.0;4532.0;5980.0;15853.0;22036.0
03462;Wittmund, Landkreis;55969.0;4699.0;4220.0;4875.0;4471.0;8596.0;9136.0;6144.0;6846.0;3078.0;3904.0;9346.0;15085.0
04011;Bremen, kreisfreie Stadt;586271.0;51632.0;48883.0;71556.0;64504.0;95632.0;94083.0;46222.0;52170.0;24543.0;37046.0;136060.0;120883.0
04012;Bremerhaven, kreisfreie Stadt;118610.0;11218.0;10393.0;13502.0;12135.0;19032.0;18055.0;10226.0;11707.0;5098.0;7244.0;25637.0;25808.0
05111;Dï¿½sseldorf, kreisfreie Stadt;618685.0;50892.0;46578.0;70656.0;75027.0;107769.0;109505.0;46548.0;51606.0;23205.0;36899.0;145683.0;117459.0
05112;Duisburg, kreisfreie Stadt;502270.0;46773.0;43962.0;56007.0;51052.0;84113.0;81452.0;43062.0;46299.0;19339.0;30211.0;107059.0;102578.0
05113;Essen, kreisfreie Stadt;574682.0;50555.0;47340.0;62092.0;60084.0;93232.0;94254.0;49223.0;55090.0;24564.0;38248.0;122176.0;126187.0
05114;Krefeld, kreisfreie Stadt;231406.0;20138.0;18655.0;23885.0;21839.0;38654.0;38830.0;20826.0;22796.0;10251.0;15532.0;45724.0;51534.0
05116;Mï¿½nchengladbach, kreisfreie Stadt;267213.0;23614.0;22118.0;29353.0;25920.0;44505.0;43290.0;24323.0;26525.0;11081.0;16484.0;55273.0;57972.0
05117;Mï¿½lheim an der Ruhr, kreisfreie Stadt;173050.0;15114.0;14254.0;16708.0;15300.0;27840.0;28928.0;15983.0;17817.0;8351.0;12755.0;32008.0;41448.0
05119;Oberhausen, kreisfreie Stadt;213646.0;18537.0;17863.0;20578.0;20071.0;35279.0;35575.0;20404.0;22574.0;9084.0;13681.0;40649.0;48819.0
05120;Remscheid, kreisfreie Stadt;113828.0;10012.0;9347.0;11603.0;10212.0;19392.0;18761.0;10654.0;11057.0;5107.0;7683.0;21815.0;25377.0
05122;Solingen, kreisfreie Stadt;165626.0;14506.0;13540.0;16374.0;15163.0;27556.0;28068.0;15370.0;16463.0;7306.0;11280.0;31537.0;36963.0
05124;Wuppertal, kreisfreie Stadt;358193.0;32581.0;30148.0;39466.0;37108.0;58987.0;57667.0;30710.0;33449.0;15036.0;23041.0;76574.0;75601.0
05154;Kleve, Landkreis;322018.0;27527.0;25992.0;33788.0;29953.0;54678.0;53184.0;31529.0;32945.0;13371.0;19051.0;63741.0;70912.0
05158;Mettmann, Landkreis;490910.0;42629.0;40324.0;42706.0;39868.0;81317.0;83319.0;46439.0;51632.0;24947.0;37729.0;82574.0;120560.0
05162;Rhein-Kreis Neuss;457077.0;40653.0;38902.0;41071.0;37252.0;77797.0;79919.0;42807.0;46982.0;20905.0;30789.0;78323.0;105197.0
