
kreis_id;kreis_name;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
;;31.12.2020;31.12.2021;31.12.2022;31.12.2023;31.12.2024
05382;Rhein-Sieg-Kreis;600375;600732;602933;605283;605441
05512;Bottrop, kreisfreie Stadt;117388;117311;118327;118912;118535
05513;Gelsenkirchen, kreisfreie Stadt;259105;260126;264644;267284;267930
05515;M�nster, kreisfreie Stadt;316403;317713;305222;307071;308258
05554;Borken, Landkreis;371898;373582;377154;379787;380796
05558;Coesfeld, Landkreis;220712;221352;224745;226217;227859
05562;Recklinghausen, Landkreis;613599;612801;621933;622855;621305
05566;Steinfurt, Landkreis;448197;450176;447192;450042;451712
05570;Warendorf, Landkreis;277417;278176;281090;282216;282639
05711;Bielefeld, kreisfreie Stadt;333509;334002;331385;331519;331605
05754;G�tersloh, Landkreis;364818;366104;361931;363674;363982
05758;Herford, Landkreis;250547;250635;254949;254593;254404
05762;H�xter, Landkreis;139729;139994;138943;139042;139252
05766;Lippe, Landkreis;346970;346151;348275;347613;347149
05770;Minden-L�bbecke, Landkreis;310270;311214;320648;320925;320557
05774;Paderborn, Landkreis;308335;309380;313921;315606;315912
05911;Bochum, kreisfreie Stadt;364454;363441;356209;357024;358676
05913;Dortmund, kreisfreie Stadt;587696;586852;599370;601343;603462
05914;Hagen, kreisfreie Stadt;188687;188713;189957;190640;190384
05915;Hamm, kreisfreie Stadt;178967;179238;179479;179380;179968
05916;Herne, kreisfreie Stadt;156940;156621;155603;156154;155851
05954;Ennepe-Ruhr-Kreis;323130;322143;315325;315069;314167
05958;Hochsauerlandkreis;259030;258615;261006;261193;260843
05962;M�rkischer Kreis;408662;406793;410629;408899;408046
05966;Olpe, Landkreis;133362;133120;132519;132426;132346
05970;Siegen-Wittgenstein, Landkreis;275491;274342;274634;274379;274074
05974;Soest, Landkreis;301016;302298;299749;300347;300297
05978;Unna, Landkreis;393618;393063;395619;396283;393784
06411;Darmstadt, kreisfreie Stadt;159174;159631;162329;164832;167029
06412;Frankfurt am Main, kreisfreie Stadt;764104;759224;747389;749596;756021
06413;Offenbach am Main, kreisfreie Stadt;130892;131295;130542;131845;132746
06414;Wiesbaden, kreisfreie Stadt;278609;278950;284787;287241;288850
06431;Bergstra�e, Landkreis;271015;271166;273288;274484;274169
06432;Darmstadt-Dieburg, Landkreis;297701;296900;300928;302263;302021
06433;Gro�-Gerau, Landkreis;275807;276307;266326;267920;268310
06434;Hochtaunuskreis;237281;237041;238534;240622;241664
06435;Main-Kinzig-Kreis;421689;423465;415753;419055;420914
06436;Main-Taunus-Kreis;239264;239276;237671;238593;238775
06437;Odenwaldkreis;96754;96953;94619;94246;93846
06438;Offenbach, Landkreis;356542;357466;353948;356578;358022
06439;Rheingau-Taunus-Kreis;187433;187229;185684;186050;185651
06440;Wetteraukreis;310353;311661;309348;310705;311593
06531;Gie�en, Landkreis;271667;272874;266314;268141;268418
06532;Lahn-Dill-Kreis;253373;253364;253208;254444;254074
06533;Limburg-Weilburg, Landkreis;172291;172759;173484;174281;173830
06534;Marburg-Biedenkopf, Landkreis;245903;246097;242197;243093;242805
06535;Vogelsbergkreis;105506;105671;101545;101494;101163
06611;Kassel, kreisfreie Stadt;201048;200406;196575;197065;197230
06631;Fulda, Landkreis;223023;223572;221445;222688;222283
06632;Hersfeld-Rotenburg, Landkreis;120304;120163;118183;118010;117414
06633;Kassel, Landkreis;237007;237268;230318;230742;231073
06634;Schwalm-Eder-Kreis;179840;180052;179406;180368;180071
06635;Waldeck-Frankenberg, Landkreis;156528;156513;155068;155135;155126
06636;Werra-Mei�ner-Kreis;100046;99714;98044;98055;97695
07111;Koblenz, kreisfreie Stadt;113388;113638;113294;113346;113378
07131;Ahrweiler, Landkreis;130479;128146;127881;128546;129353
07132;Altenkirchen (Westerwald), Landkreis;129087;129261;131657;132149;132125
07133;Bad Kreuznach, Landkreis;158746;159402;163979;164564;164748
07134;Birkenfeld, Landkreis;80830;80849;82350;82622;82611
07135;Cochem-Zell, Landkreis;61578;61735;61509;61538;61608
07137;Mayen-Koblenz, Landkreis;214786;215446;216056;216874;217228
07138;Neuwied, Landkreis;183131;184390;187905;188656;189061
07140;Rhein-Hunsr�ck-Kreis;103401;103767;105740;106390;106705
07141;Rhein-Lahn-Kreis;122574;122724;124860;125283;125588
07143;Westerwaldkreis;202830;203831;207154;207648;207803
07211;Trier, kreisfreie Stadt;110674;110570;103307;103986;104342
07231;Bernkastel-Wittlich, Landkreis;112685;113194;113299;113327;113187
07232;Eifelkreis Bitburg-Pr�m;100055;100959;99866;100740;99788
07233;Vulkaneifel, Landkreis;60491;60882;59389;59542;59313
07235;Trier-Saarburg, Landkreis;150533;151167;149015;149056;148953
07311;Frankenthal (Pfalz), kreisfreie Stadt;48750;48773;48007;48107;48140
07312;Kaiserslautern, kreisfreie Stadt;99662;99292;100316;100571;100426
07313;Landau in der Pfalz, kreisfreie Stadt;46685;46919;47455;48202;48209
07314;Ludwigshafen am Rhein, kreisfreie Stadt;172557;172145;173869;175816;177222
07315;Mainz, kreisfreie Stadt;217123;217556;221516;223871;224684
07316;Neustadt an der Weinstra�e, kreisfreie Stadt;53306;53491;52759;52709;52945
07317;Pirmasens, kreisfreie Stadt;40176;40054;39324;39576;39761
07318;Speyer, kreisfreie Stadt;50741;50565;49881;49874;49564
07319;Worms, kreisfreie Stadt;83459;83850;85378;86403;86753
07320;Zweibr�cken, kreisfreie Stadt;34001;34091;33264;33355;33323
07331;Alzey-Worms, Landkreis;130715;131330;129893;130794;131238
07332;Bad D�rkheim, Landkreis;133004;133206;134032;134221;134329
07333;Donnersbergkreis;75539;75569;74854;74728;74783
07334;Germersheim, Landkreis;129006;129313;130935;131678;131383
07335;Kaiserslautern, Landkreis;106320;106853;105752;106082;106343
07336;Kusel, Landkreis;70105;69949;70124;69846;69334
07337;S�dliche Weinstra�e, Landkreis;110783;111279;112907;113150;113031
07338;Rhein-Pfalz-Kreis;154754;155050;155061;155525;155882
07339;Mainz-Bingen, Landkreis;211525;212420;205823;206220;206454
07340;S�dwestpfalz, Landkreis;94912;94819;90144;90168;89974
08111;Stuttgart, kreisfreie Stadt;630305;626275;612041;613111;612663
08115;B�blingen, Landkreis;392898;393195;391368;394261;395167
08116;Esslingen, Landkreis;533617;533388;533434;536027;536601
08117;G�ppingen, Landkreis;258781;259046;257269;259232;258809
08118;Ludwigsburg, Landkreis;544971;544679;532109;534808;535374
08119;Rems-Murr-Kreis;427286;427316;438079;440103;440696
08121;Heilbronn, kreisfreie Stadt;126458;125613;129931;131653;131986
08125;Heilbronn, Landkreis;346363;347798;351402;353609;353877
08126;Hohenlohekreis;112765;113318;114553;115335;115644
08127;Schw�bisch Hall, Landkreis;197860;199398;198650;200597;200902
08128;Main-Tauber-Kreis;132684;132956;132793;133459;133169
08135;Heidenheim, Landkreis;132812;132958;134766;135241;135235
08136;Ostalbkreis;314294;315009;316343;317263;317427
08211;Baden-Baden, kreisfreie Stadt;55449;55527;56094;56526;56881
08212;Karlsruhe, kreisfreie Stadt;308436;306502;306630;308197;309050
08215;Karlsruhe, Landkreis;446852;448487;453378;455350;456264
08216;Rastatt, Landkreis;232091;232296;230698;231356;230737
08221;Heidelberg, kreisfreie Stadt;158741;159245;154570;155175;155756
