stichtag;kreis_id;kreis_name_x;pkw_benzin;pkw_diesel;pkw_gas;pkw_elektrisch;pkw_hybrid;pkw_plugin;pkw_sonstige;pkw_gesamt;jahr;e_auto_quote;kreis_name_y;bev_total;Arbeitnehmerentgelt_insgesamt_Anteil_am_Land_in;Arbeitnehmerentgelt_Land_und_Forstwirtschaft_Fischerei_in_Mio_EUR;Arbeitnehmerentgelt_Produzierendes_Gewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Verarbeitendes_Gewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Baugewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Dienstleistungsbereiche_in_Mio_EUR;Arbeitnehmerentgelt_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_EUR;Arbeitnehmerentgelt_Handel_Verkehr_und_Lagerei_Gastgewerbe_in_Mio_EUR;Arbeitnehmerentgelt_Information_und_Kommunikation_in_Mio_EUR;Arbeitnehmerentgelt_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_Mio_EUR;Arbeitnehmerentgelt_Finanz_Versicherungsdienstleistungen_in_Mio_EUR;Arbeitnehmerentgelt_Grundstuecks_und_Wohnungswesen_in_Mio_EUR;Arbeitnehmerentgelt_Unternehmensdienstleistungen_in_Mio_EUR;Arbeitnehmerentgelt_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_EUR;Arbeitnehmerentgelt_Oeffentliche_Dienstleistungen_Erziehung_Gesundheit_in_Mio_EUR;Arbeitnehmerentgelt_Sonstige_Dienstleistungen_in_Mio_EUR;Bruttoloehne_und_gehaelter_insgesamt_in_Mio_EUR;Bruttoloehne_und_gehaelter_insgesamt_Veraenderung_gegenueber_dem_Vorjahr_in;Bruttoloehne_und_gehaelter_insgesamt_Anteil_am_Land_in;Bruttoloehne_und_gehaelter_Land_und_Forstwirtschaft_Fischerei_in_Mio_EUR;Bruttoloehne_und_gehaelter_Produzierendes_Gewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Verarbeitendes_Gewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Baugewerbe_in_Mio_EUR;Bruttoloehne_und_gehaelter_Dienstleistungsbereiche_in_Mio_EUR;Bruttoloehne_und_gehaelter_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_EUR;Bruttoloehne_und_gehaelter_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_Mio_EUR;Bruttoloehne_und_gehaelter_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_EUR;Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Land_und_Forstwirtschaft_Fischerei_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_ohne_Baugewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Verarbeitendes_Gewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Baugewerbe_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Dienstleistungsbereiche_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Finanz_Versicherungs_und_Unternehmensdienstleistungen_Grundstuecks_u_Wohnungswesen_in_1000_Personen;Arbeitnehmerinnen_und_Arbeitnehmer_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_1000_Personen;Arbeitnehmerentgelt_je_Arbeitnehmerin_bzw_Arbeitnehmer_insgesamt_in_EUR;Bruttoloehne_und_gehaelter_je_Arbeitnehmerin_bzw_Arbeitnehmer_insgesamt_in_EUR;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Land_und_Forstwirtschaft_Fischerei_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Produzierendes_Gewerbe_ohne_Baugewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Verarbeitendes_Gewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Baugewerbe_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Dienstleistungsbereiche_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Handel_Verkehr_und_Lagerei_Gastgewerbe_Information_und_Kommunikation_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_6_4_2_Finanz_Versicherungs_und_Unternehmensdienstleister_Grundstuecks_u_Wohnungswesen_in_Mio_Arbeitsstunden;Arbeitsvolumen_der_Arbeitnehmerinnen_und_Arbeitnehmer_Oeffentliche_und_sonstige_Dienstleistungen_Erziehung_und_Gesundheit_in_Mio_Arbeitsstunden;Arbeitnehmerentgelt_je_Arbeitsstunde_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_EUR;Bruttoloehne_und_gehaelter_je_Arbeitsstunde_der_Arbeitnehmerinnen_und_Arbeitnehmer_insgesamt_in_EUR;entgelt_gesamt_mio;lohn_gesamt_mio;entgelt_pro_arb;lohn_pro_arb;entgelt_pro_stunde;lohn_pro_stunde;anteil_dl_besch;anteil_pg_besch;anteil_vg_besch;arbeitsstunden_pro_arb;lohn_wachstum;pkw_pro_1000;anteil_18_35;anteil_65_plus
01.01.2021;01058;Rendsburg-EckernfÃ¶rde, Landkreis;104576.0;66731.0;1210.0;1171.0;1942.0;631.0;20.0;176281.0;2021;0.006642803251626664;Rendsburg-Eckernfï¿½rde, Landkreis;276053.0;8.0;69.0;;653.0;507.0;364.0;;940.0;;;492.0;;;;;;;;3.8;8.0;59.0;844.0;537.0;421.0;308.0;;792.0;411.0;;109.7;2.8;21.4;12.9;10.3;8.5;85.6;27.1;12.8;45.7;;;140.3;3.4;31.0;18.3;14.3;12.7;105.8;33.5;15.6;56.7;31.03;25.36;;;;;31.03;25.36;0.780309936189608;0.195077484047402;0.09389243391066546;1.2789425706472197;3.8;638.5766501360246;0.1638938638701278;0.24812808838443778
01.01.2021;01059;Schleswig-Flensburg, Landkreis;72277.0;54949.0;964.0;869.0;1047.0;403.0;30.0;130539.0;2021;0.006657014378844636;Schleswig-Flensburg, Landkreis;203799.0;5.2;50.0;616.0;338.0;280.0;278.0;;677.0;;;324.0;;;;;;;;4.2;5.2;43.0;513.0;278.0;232.0;235.0;;572.0;269.0;923.0;77.9;2.3;15.8;9.3;8.3;6.5;59.8;21.3;8.0;30.5;;;99.0;2.8;22.8;13.1;11.6;9.7;73.3;25.9;10.0;37.4;28.61;23.45;;;;;28.61;23.45;0.7676508344030808;0.20282413350449294;0.10654685494223363;1.2708600770218228;4.2;640.5281674591141;0.1639980143279863;0.25277410060738204
01.01.2021;01060;Segeberg, Landkreis;108579.0;56259.0;1219.0;1239.0;2290.0;898.0;30.0;170514.0;2021;0.007266265526584327;Segeberg, Landkreis;280400.0;9.1;32.0;;;;307.0;;;;;572.0;;;;;;;;2.5;9.2;27.0;;;946.0;259.0;;;478.0;;113.9;1.5;28.0;20.7;19.3;7.3;84.3;36.1;14.8;33.4;;;149.9;1.8;40.7;30.2;27.9;10.6;107.4;47.0;18.4;42.0;33.08;27.39;;;;;33.08;27.39;0.7401229148375768;0.24582967515364354;0.1694468832309043;1.3160667251975418;2.5;608.1098430813124;0.17341533773918932;0.22624681727452903
01.01.2021;01061;Steinburg, Landkreis;51335.0;29395.0;618.0;437.0;723.0;221.0;14.0;82743.0;2021;0.00528141353347111;Steinburg, Landkreis;130843.0;3.8;32.0;604.0;459.0;375.0;145.0;;348.0;;;295.0;;;;764.0;;;;4.2;3.8;28.0;500.0;377.0;311.0;123.0;;293.0;245.0;609.0;51.6;1.5;12.3;8.8;7.6;3.5;37.9;10.8;6.9;20.2;;;66.1;1.9;17.8;12.6;10.8;5.2;46.5;13.0;8.7;24.8;30.87;25.3;;;;;30.87;25.3;0.7344961240310077;0.23837209302325582;0.14728682170542634;1.2810077519379843;4.2;632.383849346163;0.17495536084260646;0.23955217695941416
01.01.2021;01062;Stormarn, Landkreis;99470.0;49514.0;1058.0;1212.0;2202.0;915.0;29.0;154400.0;2021;0.007849740932642487;Stormarn, Landkreis;245406.0;8.7;25.0;;;;270.0;;;;;611.0;;;;;;;;4.7;8.8;21.0;;;973.0;228.0;;;509.0;882.0;107.4;1.2;26.8;20.2;19.4;6.5;79.4;35.5;15.0;28.9;;;141.4;1.6;38.8;29.3;28.1;9.4;101.0;47.1;18.6;35.3;33.41;27.7;;;;;33.41;27.7;0.7392923649906891;0.24953445065176907;0.18063314711359402;1.3165735567970205;4.7;629.1614711946734;0.15512159174649964;0.24000097176220977
01.01.2021;02000;Hamburg, kreisfreie Stadt;520882.0;248828.0;5344.0;7035.0;16209.0;7332.0;150.0;805780.0;2021;0.008730670902727791;Hamburg, kreisfreie Stadt;1853935.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;434.6322821458142;0.23758794995073998;0.1804457831001871
01.01.2021;03101;Braunschweig, kreisfreie Stadt;88121.0;46923.0;1288.0;2725.0;2442.0;1413.0;21.0;142933.0;2021;0.019064876550551658;Braunschweig, kreisfreie Stadt;248823.0;4.9;4.0;;;;228.0;;;;;;;;;;;;;3.2;4.9;3.0;;;;193.0;;;;;159.5;0.2;29.5;24.4;22.4;5.1;129.8;35.8;40.5;53.5;;;208.1;0.2;43.0;35.4;32.3;7.6;164.9;45.2;52.3;67.4;39.51;32.3;;;;;39.51;32.3;0.8137931034482759;0.18495297805642633;0.1404388714733542;1.3047021943573667;3.2;574.4364467914943;0.24264909353974115;0.216087791842253
01.01.2021;03102;Salzgitter, kreisfreie Stadt;36865.0;18010.0;702.0;182.0;493.0;167.0;7.0;56426.0;2021;0.003225463438840251;Salzgitter, kreisfreie Stadt;103694.0;1.8;3.0;;;;79.0;;361.0;;;186.0;;;;537.0;;;;0.4;1.8;3.0;;;;67.0;889.0;304.0;156.0;429.0;55.3;0.2;27.8;25.7;24.2;2.1;27.4;9.7;4.5;13.2;;;74.9;0.2;41.2;38.1;35.9;3.0;33.5;12.1;5.3;16.1;39.9;32.87;;;;;39.9;32.87;0.49547920433996384;0.5027124773960218;0.4376130198915009;1.3544303797468356;0.4;544.1587748567902;0.1949033057063923;0.22857006763837287
01.01.2021;03103;Wolfsburg, kreisfreie Stadt;75938.0;42950.0;529.0;9495.0;3623.0;5580.0;5.0;138120.0;2021;0.06874456993918332;Wolfsburg, kreisfreie Stadt;123949.0;5.8;2.0;;;;92.0;;887.0;;;756.0;;;;848.0;;;;;5.9;1.0;;;;78.0;;743.0;636.0;678.0;129.2;0.1;75.5;73.3;72.3;2.2;53.6;20.2;13.8;19.6;;;181.6;0.1;111.7;108.4;106.8;3.2;69.8;27.1;18.7;24.0;53.85;44.42;;;;;53.85;44.42;0.41486068111455116;0.5843653250773995;0.5595975232198143;1.4055727554179567;;1114.3292805912108;0.19715961716579192;0.22158073479468973
01.01.2021;03151;Gifhorn, Landkreis;66458.0;39809.0;989.0;642.0;992.0;340.0;13.0;109243.0;2021;0.0058768067519200315;Gifhorn, Landkreis;177919.0;1.3;22.0;523.0;360.0;329.0;163.0;;322.0;;;652.0;;;;719.0;;;;3.8;1.3;19.0;435.0;297.0;273.0;138.0;;272.0;551.0;576.0;54.9;1.0;11.8;7.5;7.0;4.3;42.0;11.5;10.6;19.9;;;67.8;1.3;16.5;10.4;9.6;6.1;50.0;13.0;14.4;22.6;32.99;27.31;;;;;32.99;27.31;0.7650273224043717;0.214936247723133;0.12750455373406194;1.2349726775956285;3.8;614.0041254728276;0.16446235428519465;0.2226516542289264
